"WikiPlantaID"	"TAG_NUM"	"Family"	"Genus"	"Species"	"LOCAL"	"PosX"	"PosY"	"DAPultimo"	"DAPpom"	"STATUS"	"OBS"
"18014"	"1137"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Parcela 19"	"0.2"	"10.2"	"54"	""	"Viva"	""
"18015"	"288"	"Myrtaceae"	""	"Myrtaceae"	"Parcela 19"	"0.8"	"17.9"	"27"	""	"Viva"	""
"18016"	"1408"	"Myristicaceae"	"Iryanthera"	"Iryanthera"	"Parcela 19"	"0.9"	"18"	"50"	""	"Viva"	""
"18017"	"308"	"Myrtaceae"	""	"Myrtaceae"	"Parcela 19"	"0.9"	"22"	"54"	""	"Viva"	""
"18018"	"2571"	"Lauraceae"	""	"Lauraceae"	"Parcela 19"	"0.3"	"26"	"74"	""	"Viva"	""
"18019"	"1603"	"Sapotaceae"	"Pradosia"	"Pradosia"	"Parcela 19"	"0.6"	"26"	"58"	""	"Viva"	""
"18028"	"1854"	"Apocynaceae"	""	"Apocynaceae"	"Parcela 13"	"0.3"	"2.1"	"30"	""	"Viva"	""
"18029"	"2519"	"Euphorbiaceae"	"Hevea"	"Hevea"	"Parcela 13"	"0.6"	"30.5"	"58"	""	"Viva"	""
"18030"	"2328"	"Burseraceae"	"Protium"	"Protium"	"Parcela 13"	"0.8"	"46.7"	"44"	""	"Viva"	""
"18031"	"618"	"Rubiaceae"	"Calycophyllum"	"Calycophyllum"	"Parcela 14"	"0.9"	"4.6"	"34"	""	"Viva"	""
"18032"	"247"	"Myrsinaceae"	"Cybianthus"	"Cybianthus"	"Parcela 14"	"1"	"19.7"	"80"	""	"Viva"	""
"18033"	"2230"	"Annonaceae"	"Guatteria"	"Guatteria"	"Parcela 14"	"0.9"	"37.2"	"41"	""	"Viva"	""
"18034"	"2474"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Parcela 14"	"0.7"	"42.2"	"34"	""	"Viva"	""
"18035"	"174"	"Apocynaceae"	""	"Apocynaceae"	"Parcela 15"	"0.8"	"4.3"	"66"	""	"Viva"	""
"18036"	"549"	"Apocynaceae"	"Aspidosperma"	"Aspidosperma"	"Parcela 16"	"0.2"	"0"	"80"	""	"Viva"	""
"18037"	"705"	"Burseraceae"	"Protium"	"Protium"	"Parcela 16"	"0.1"	"26.2"	"40"	""	"Viva"	""
"18038"	"1663"	"Euphroniaceae"	"Euphronia"	"Euphronia hirtelloides"	"Parcela 16"	"0.1"	"36.6"	"125"	""	"Viva"	""
"18039"	"1262"	"Sapotaceae"	"Pradosia"	"Pradosia"	"Parcela 18"	"0.3"	"28.2"	"95"	""	"Viva"	""
"18041"	"1141"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Parcela 19"	"0.7"	"22.6"	"56"	""	"Viva"	""
"18042"	"96"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Parcela 13"	"0.6"	"18.1"	"100"	""	"Viva"	""
"18043"	"1959"	"Burseraceae"	"Protium"	"Protium"	"Parcela 14"	"0.1"	"3"	"85"	""	"Viva"	""
"18044"	"123"	"Burseraceae"	"Protium"	"Protium"	"Parcela 14"	"0.8"	"9"	"113"	""	"Viva"	""
"18045"	"1186"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Parcela 14"	"0.3"	"24.1"	"76"	""	"Viva"	""
"18046"	"1211"	"Sapotaceae"	"Pouteria"	"Pouteria"	"Parcela 15"	"0.6"	"12.2"	"127"	""	"Viva"	""
"18047"	"2441"	"Euphroniaceae"	"Euphronia"	"Euphronia hirtelloides"	"Parcela 15"	"0"	"13.9"	"117"	""	"Viva"	""
